round,train_time (s),accuracy,precision,recall,f1

0,15387.7328,0.9925902864259029,0.9934430616887462,0.9906591940218842,0.9920491748513396
1,14963.5062,0.9927148194271482,0.9931809065383073,0.9911929543634908,0.9921859346824283
2,13774.0033,0.9928393524283935,0.9934465694797379,0.9911929543634908,0.9923184823993053
3,12406.1316,0.9932129514321295,0.9931881928676373,0.992260475046704,0.9927241172151392
4,13333.629,0.9929016189290162,0.9938436830835118,0.9909260741926875,0.9923827341975143
5,13349.8231,0.9933997509339975,0.9943790149892934,0.9914598345342941,0.99291727916611
6,12075.6931,0.9924034869240349,0.9941018766756032,0.9895916733386709,0.9918416477196736
7,11605.7984,0.9932752179327522,0.9941129248059941,0.9914598345342941,0.9927846071619455
8,12089.5273,0.9926525529265255,0.9933119315141787,0.9909260741926875,0.992117568470274
9,12782.0798,0.9924657534246575,0.9930453390397218,0.9907926341072858,0.9919177075679647