vectorizer,dimensions,classifier,min_acc,avg_acc,max_acc,min_precision,avg_precision,max_precision,min_recall,avg_recall,max_recall,min_f1,avg_f1,max_f1

Pt-BR_Word2Vec,50,cnn,0.9904732254047324,0.9909028642590286,0.9914072229140722,0.9906429621708328,0.9917031064769656,0.9934175174637292,0.9867894315452362,0.9887776888177209,0.9898585535094744,0.9897829716193656,0.9902377583853932,0.9907840256444505
Pt-BR_Word2Vec,100,cnn,0.9912826899128268,0.9915504358655044,0.9917808219178084,0.9883134130146084,0.991033575314465,0.9925073588439924,0.9898585535094744,0.9908593541499865,0.993061115559114,0.9906815761448348,0.990945402388992,0.9911811865312667
Pt-BR_Word2Vec,300,cnn,0.9922166874221668,0.9924844333748444,0.9926525529265257,0.9917256105698652,0.9924532399954991,0.993307455494579,0.9902588737656792,0.9914331465172138,0.9919935948759008,0.9916594381797558,0.9919427405183072,0.9921259842519684
Pt-BR_Word2Vec,600,cnn,0.9922789539227896,0.9926525529265255,0.9929016189290162,0.9912058627581612,0.9928385770889445,0.9942382419938364,0.9901254336802776,0.9914064585001334,0.992660795302909,0.9917245061398824,0.9921213679135696,0.9923939151321056
Pt-BR_Word2Vec,1000,cnn,0.9924034869240348,0.9926463262764631,0.9928393524283936,0.991605596269154,0.9925882984522589,0.9944995975315268,0.989191353082466,0.9916466506538564,0.993061115559114,0.991838373026492,0.9921165597022534,0.992332822188146
Pt-BR_Word2Vec,50,lstm,0.9898505603985056,0.9905479452054795,0.9909713574097136,0.9868630573248408,0.9892353973543642,0.9917023554603854,0.988791032826261,0.9905257539364826,0.9923939151321056,0.9891224557891224,0.9898785406474184,0.9903404170275132
Pt-BR_Word2Vec,100,lstm,0.9912204234122044,0.9916002490660025,0.9920921544209216,0.9892229909526344,0.9916656575725302,0.9938230159795892,0.9875900720576462,0.99032559380838,0.9921270349613024,0.9905943566139684,0.9909933802603226,0.991522595287364
Pt-BR_Word2Vec,300,lstm,0.9919053549190536,0.992266500622665,0.9926525529265257,0.9904102290889718,0.9924240368825992,0.993047198823372,0.9895916733386708,0.9909927942353882,0.992260475046704,0.9913113220157732,0.9917074104610052,0.9921259842519684
Pt-BR_Word2Vec,600,lstm,0.9917808219178084,0.9922415940224161,0.9925902864259027,0.9901477832512317,0.9926745399348753,0.9941002949852508,0.9893247931678676,0.9906858820389643,0.9923939151321056,0.991182364729459,0.9916783955120809,0.9920566050330418
Pt-BR_Word2Vec,1000,lstm,0.9920298879202988,0.9926027397260274,0.9931506849315068,0.9912023460410556,0.99257505205376,0.993975903614458,0.9902588737656792,0.9915665866026153,0.992660795302909,0.9914586947817964,0.9920698282123783,0.9926549145299144
Pt-BR_Word2Vec,50,mixed,0.9903486924034868,0.9907160647571605,0.9910958904109588,0.9882994282675176,0.9897089723554556,0.9926174496644296,0.9867894315452362,0.990405657859621,0.9921270349613024,0.9896618421930236,0.9900554140172828,0.9904749217344968
Pt-BR_Word2Vec,100,mixed,0.9909713574097136,0.9920174346201744,0.9924657534246576,0.9902796271637816,0.9926453787077392,0.9940939597315436,0.9882572724846544,0.9902321857485988,0.9923939151321056,0.990313314182644,0.9914360745577815,0.9919112240123004
Pt-BR_Word2Vec,300,mixed,0.9917185554171856,0.9922478206724781,0.9925902864259027,0.9912058627581612,0.9926105167247978,0.994894531774822,0.9881238323992528,0.9907659460902055,0.9929276754737124,0.9911232730427818,0.9916855963823827,0.9920671955202988
Pt-BR_Word2Vec,600,mixed,0.9920921544209216,0.992521793275218,0.9931506849315068,0.9915988798506468,0.9929173955387999,0.9948952176249328,0.9882572724846544,0.9910461702695491,0.9927942353883108,0.9915248581915248,0.9919794185007499,0.9926460756785668
Pt-BR_Word2Vec,1000,mixed,0.9922789539227896,0.9926463262764633,0.9930261519302616,0.98989898989899,0.9926946449539489,0.9941097724230256,0.9905257539364826,0.991539898585535,0.993861756071524,0.9917289220917824,0.9921159243108523,0.9925163704396632
Pt-BR_GloVe,50,cnn,0.9909713574097136,0.9915504358655044,0.9919676214196762,0.99054216065006,0.9915309163421846,0.9927691483663632,0.9893247931678676,0.9903522818254604,0.992260475046704,0.9903171953255426,0.9909406700309719,0.9914005732951136
Pt-BR_GloVe,100,cnn,0.9922789539227896,0.9925653798256537,0.9928393524283936,0.9923898531375168,0.9931665031131256,0.9944981213097156,0.9889244729116626,0.9908860421670669,0.991860154790499,0.9917034658102502,0.9920244077053209,0.9923225849522666
Pt-BR_GloVe,300,cnn,0.9927770859277708,0.9931942714819428,0.9937110834371108,0.991869918699187,0.9931889960235505,0.994245182012848,0.9909260741926876,0.9922204430210835,0.9941286362423272,0.9922573755172874,0.992703858298991,0.9932671155256316
Pt-BR_GloVe,600,cnn,0.9926525529265257,0.992920298879203,0.9931506849315068,0.9919957310565636,0.9938593102859578,0.995833893293912,0.988791032826261,0.9909527622097677,0.992260475046704,0.9921154617132166,0.9924028865066366,0.9926519706078824
Pt-BR_GloVe,1000,cnn,0.9927148194271482,0.9929576587795765,0.9933374844333748,0.9926539334847068,0.9933835711424616,0.9951716738197424,0.9901254336802776,0.9915132105684548,0.9929276754737124,0.9921901074694612,0.9924468158369383,0.992861431716592
Pt-BR_GloVe,50,lstm,0.9907222914072228,0.9912328767123286,0.9917808219178084,0.98921294446664,0.9913313640146507,0.9940860215053764,0.986922871630638,0.9898718975180143,0.992260475046704,0.990063354451484,0.9905989703185234,0.9911917789937276
Pt-BR_GloVe,100,lstm,0.9920921544209216,0.9923412204234123,0.9928393524283936,0.9912046908315564,0.9923462237185328,0.9939750970678806,0.9901254336802776,0.9912329863891113,0.9925273552175072,0.991514665597648,0.9917888640916747,0.9923143754594668
Pt-BR_GloVe,300,lstm,0.9930261519302616,0.9931693648816937,0.9933374844333748,0.9921354305518528,0.9934652847433831,0.994113712374582,0.9913263944488924,0.9918868428075793,0.9933279957299171,0.9925183700734804,0.9926749712546645,0.9928547579298832
Pt-BR_GloVe,600,lstm,0.9927770859277708,0.9930759651307597,0.99346201743462,0.9920010665244634,0.9930560051670984,0.9951703783203648,0.9898585535094744,0.9921003469442221,0.993061115559114,0.9922584089695676,0.9925771884402208,0.9929892501836148
Pt-BR_GloVe,1000,lstm,0.9926525529265257,0.9929825653798255,0.9933997509339976,0.9918688349773394,0.9930942182333882,0.9947714170800376,0.9901254336802776,0.9918601547904989,0.9931945556445156,0.992113353829702,0.9924759547359019,0.9929238985313752
Pt-BR_GloVe,50,mixed,0.9910958904109588,0.9916562889165629,0.9923412204234122,0.989218687608146,0.9912311253066364,0.9923786602486964,0.9895916733386708,0.9908860421670671,0.992260475046704,0.990471113480376,0.9910580223141287,0.9917972657552516
Pt-BR_GloVe,100,mixed,0.9918430884184308,0.992428393524284,0.9927770859277708,0.9902912621359224,0.9922970774559617,0.9942320590207914,0.9890579129970644,0.9914731785428342,0.9935948759007206,0.991253254990986,0.9918834135213885,0.9922635720955048
Pt-BR_GloVe,300,mixed,0.9922789539227896,0.9928082191780823,0.9931506849315068,0.9905484558040468,0.9924736275033373,0.9941113490364024,0.9906591940218842,0.9921136909527624,0.9933279957299171,0.9917366386778622,0.9922925555694594,0.9926617745163442
Pt-BR_GloVe,600,mixed,0.9922166874221668,0.9925653798256537,0.9932129514321296,0.9914689416155692,0.9932341848189379,0.9960979547900968,0.9878569522284494,0.9908193221243662,0.9925273552175072,0.9916449435198182,0.9920238185694537,0.9927231457373656
Pt-BR_GloVe,1000,mixed,0.9921544209215442,0.9925342465753426,0.9929016189290162,0.9908183632734532,0.9925345909583128,0.9941081949651848,0.9902588737656792,0.991459834534294,0.9935948759007206,0.991587661904126,0.9919959544835599,0.992380697767678
Pt-BR_FastText,50,cnn,0.9891656288916564,0.9896886674968867,0.9902864259028644,0.988,0.9903021980101292,0.9923356192012908,0.9847878302642114,0.9875767280491059,0.9889244729116626,0.9883953581432572,0.9889359107238201,0.989581942032857
Pt-BR_FastText,100,cnn,0.9898505603985056,0.9904234122042341,0.9908468244084684,0.989465262034938,0.991763312194043,0.9938155418123152,0.9847878302642114,0.9876834801174275,0.9901254336802776,0.989077263284862,0.9897172629464336,0.9901691968166924
Pt-BR_FastText,300,cnn,0.9905977584059776,0.9911332503113325,0.9915940224159402,0.9893432796057012,0.9917367374490464,0.9944899879048515,0.9871897518014412,0.9892447291166266,0.9910595142780892,0.9898976383220712,0.990487306280742,0.9909608302644792
Pt-BR_FastText,600,cnn,0.9905977584059776,0.9911768368617684,0.9915317559153176,0.99091637723751,0.991879943241593,0.99382218640881,0.9874566319722444,0.989191353082466,0.9907926341072858,0.989909789508854,0.9905328897662976,0.9909248632056586
Pt-BR_FastText,1000,cnn,0.9903486924034868,0.9909028642590287,0.9914072229140722,0.9894750865973888,0.9911796645585629,0.9938238453276048,0.9867894315452362,0.9893114491593276,0.9910595142780892,0.989628638340582,0.9902430159407635,0.9907642885825192
Pt-BR_FastText,50,lstm,0.990535491905355,0.9914570361145703,0.9921544209215442,0.9884246939861628,0.9914789258724103,0.993158953722334,0.9879903923138512,0.9902054977315187,0.9919935948759008,0.989873417721519,0.9908402042483102,0.991585414718846
Pt-BR_FastText,100,lstm,0.9914694894146948,0.9918866749688668,0.9922166874221668,0.990009324630345,0.9919055666209493,0.9940939597315436,0.9882572724846544,0.9906992260475047,0.9917267147050974,0.9908672755149656,0.9913011300093869,0.9916583249916584
Pt-BR_FastText,300,lstm,0.9917185554171856,0.9920485678704857,0.9926525529265257,0.9901451591423625,0.9927127886440159,0.9943639291465378,0.9881238323992528,0.9902321857485991,0.9921270349613024,0.9911351063120708,0.9914692155986644,0.9921186214266632
Pt-BR_FastText,600,lstm,0.9920921544209216,0.9924595267745954,0.9927148194271482,0.991067857618984,0.9930729447597979,0.9942382419938364,0.989991993594876,0.9907526020816654,0.9919935948759008,0.9915305101700568,0.9919108393922802,0.9921775757170556
Pt-BR_FastText,1000,lstm,0.9916562889165628,0.9922602739726027,0.9927148194271482,0.992256341789052,0.9935859403823379,0.9954294932114532,0.9881238323992528,0.9898051774753137,0.9917267147050974,0.9910475681453768,0.9916909226705917,0.9921859346824284
Pt-BR_FastText,50,mixed,0.9910336239103362,0.9915504358655044,0.9924034869240348,0.9896083133493204,0.991215829419561,0.9923857868020304,0.9894582332532692,0.9906725380304243,0.9915932746196956,0.9903961584633852,0.9909436929712694,0.9918558077436584
Pt-BR_FastText,100,mixed,0.990909090909091,0.9916749688667498,0.9921544209215442,0.9886938015429636,0.9910230335664274,0.9937014205306888,0.9894582332532692,0.9911395783293301,0.9919935948759008,0.9902744471089796,0.9910803303715865,0.9915752875100294
Pt-BR_FastText,300,mixed,0.9917185554171856,0.9920797011207971,0.9924034869240348,0.991067857618984,0.9927509315329448,0.9938370846730976,0.9889244729116626,0.9902588737656792,0.9919935948759008,0.9911114081400788,0.9915025836442336,0.9918438293889558
Pt-BR_FastText,600,mixed,0.9920298879202988,0.9924844333748444,0.9929016189290162,0.991860154790499,0.9932717966448579,0.9955674949630624,0.9890579129970644,0.9906058179877235,0.991860154790499,0.9914438502673796,0.9919361687231225,0.992380697767678
Pt-BR_FastText,1000,mixed,0.9915940224159402,0.9922976338729763,0.9928393524283936,0.9906654220562742,0.9924259077446876,0.9946373508513204,0.9895916733386708,0.9910595142780891,0.9919935948759008,0.9909957980390848,0.9917412078714156,0.9923092356048954
